datetime,irr_256,irr_284,irr_304,irr_1175,irr_1216,irr_1335,irr_1405,MgII_Index,n_samples_irr_256,n_samples_irr_284,n_samples_irr_304,n_samples_irr_1175,n_samples_irr_1216,n_samples_irr_1335,n_samples_irr_1405,n_samples_MgII_Index
2024-08-13 09:00:00+00:00,0.0001953934,0.00021718089444444443,0.0006729476888888889,0.0001251679611111111,0.0105406193,0.0003167465944444444,0.00019351690555555556,0.40402909677777776,180,180,180,180,180,180,180,180
2024-08-13 12:00:00+00:00,0.00019345578333333332,0.00021620795000000002,0.000668518638888889,0.0001249052611111111,0.010615696944444444,0.000315549,0.00019129455,0.40285641177777776,180,180,180,180,180,180,180,180
2024-08-13 15:00:00+00:00,0.0001937390111111111,0.00021798235555555554,0.0006656267722222223,0.00012407607777777777,0.010588237255555556,0.00031287352222222225,0.0001911219166666667,0.40218570649999996,180,180,180,180,180,180,180,180
2024-08-13 18:00:00+00:00,0.00019345205555555553,0.00021590798333333334,0.0006661864611111111,0.00012465618333333333,0.010577530038888889,0.0003125832611111111,0.00019420485555555556,0.40125559450000003,180,180,180,180,180,180,180,180
2024-08-13 21:00:00+00:00,0.0001955462415730337,0.00021471873595505615,0.0006645147584269664,0.0001244079382022472,0.010528236095505619,0.0003146631179775281,0.00019524355056179776,0.3996678715168539,178,178,178,178,178,178,178,178
2024-08-14 00:00:00+00:00,0.0001950867111111111,0.00021573886666666667,0.0006530896222222222,0.00012118050555555555,0.010451524072222221,0.0003073078333333334,0.0001909872611111111,0.39780984533333336,180,180,180,180,180,180,180,180
2024-08-14 03:00:00+00:00,0.0001929678,0.00021360450555555556,0.0006490991111111111,0.00012142896111111111,0.010375437594444445,0.0003077841111111111,0.0001892832777777778,0.396675194,180,180,180,180,180,180,180,180
2024-08-14 06:00:00+00:00,0.0001908167722222222,0.00021569616666666666,0.0006601856333333334,0.00012478088333333335,0.010277778783333334,0.0003143800277777778,0.0001914808777777778,0.3964443948888889,180,180,180,180,180,180,180,180
2024-08-14 09:00:00+00:00,0.00018685367222222223,0.00021178430555555557,0.0006362599777777778,0.00012031749444444445,0.010131717061111111,0.00030161835555555556,0.00018619670555555554,0.3950558228888889,180,180,180,180,180,180,180,180
2024-08-14 12:00:00+00:00,0.00018749474444444445,0.0002115824611111111,0.0006325354222222222,0.00012120736666666668,0.010219164588888888,0.00030091088333333334,0.00018745585000000002,0.3939642286666667,180,180,180,180,180,180,180,180
2024-08-14 15:00:00+00:00,0.00019023021666666665,0.00021520637222222221,0.0006327601166666667,0.00012103878888888888,0.010214306922222222,0.0003001015,0.0001846931222222222,0.39304782166666663,180,180,180,180,180,180,180,180
2024-08-14 18:00:00+00:00,0.00019293095,0.00021653147857142858,0.0006358464642857143,0.00012060517142857143,0.010225152728571428,0.0002999216642857143,0.00018625232857142856,0.39248090378571426,140,140,140,140,140,140,140,140
2024-08-14 21:00:00+00:00,0.0001934654777777778,0.00021442564444444444,0.0006342675666666667,0.00012016828888888888,0.010206134561111111,0.0002978496888888889,0.00018592872777777777,0.39081758316666665,180,180,180,180,180,180,180,180
2024-08-15 00:00:00+00:00,0.00019200645,0.00021136162222222223,0.0006276475111111111,0.00012012040000000001,0.010139450516666667,0.00029698989444444445,0.0001847700611111111,0.3892060673333333,180,180,180,180,180,180,180,180
2024-08-15 03:00:00+00:00,0.00018967431666666666,0.00020941487222222223,0.0006263201111111111,0.0001212029388888889,0.010112560666666666,0.0002989021277777778,0.00018584866666666665,0.3883468514444444,180,180,180,180,180,180,180,180
2024-08-15 06:00:00+00:00,0.00018865441666666665,0.00020909891666666668,0.0006218679166666666,0.00012086301111111111,0.009942176277777777,0.00029674221111111114,0.00018585721666666667,0.38727306588888893,180,180,180,180,180,180,180,180
2024-08-15 09:00:00+00:00,0.00018753881666666667,0.00020686716111111112,0.0006176610388888889,0.00011871782222222223,0.009838777872222223,0.00029386828333333333,0.0001853632388888889,0.3860397387777778,180,180,180,180,180,180,180,180
2024-08-15 12:00:00+00:00,0.00018754871111111113,0.00020704231111111113,0.0006130604722222222,0.00011773754999999999,0.0099207761,0.0002921206611111111,0.0001844734111111111,0.3848321160555556,180,180,180,180,180,180,180,180
2024-08-15 15:00:00+00:00,0.00018710953333333333,0.00020499912222222223,0.0006086401111111111,0.00011617670555555556,0.009882929983333334,0.0002900457611111111,0.00018425178888888886,0.3834311427777778,180,180,180,180,180,180,180,180
2024-08-15 18:00:00+00:00,0.00018770664044943822,0.00020482616292134834,0.0006091670000000001,0.00011689952808988765,0.009861380893258427,0.0002904295842696629,0.0001850485786516854,0.38229355370786516,178,178,178,178,178,178,178,178
2024-08-15 21:00:00+00:00,0.00018695285000000001,0.00020306432777777777,0.0006059819055555556,0.00011824255,0.00982840955,0.0002902441,0.0001858447388888889,0.3810733316666667,180,180,180,180,180,180,180,180
2024-08-16 00:00:00+00:00,0.00018702228333333334,0.0002031527888888889,0.0006057707277777778,0.00011894215555555555,0.009814793577777777,0.00029078776666666665,0.00018669517777777778,0.3798289198888889,180,180,180,180,180,180,180,180
2024-08-16 03:00:00+00:00,0.00018689894444444446,0.0002023065611111111,0.0006067880444444445,0.00011884341666666668,0.009783719055555556,0.0002876373555555556,0.00018729815555555557,0.37889089444444446,180,180,180,180,180,180,180,180
2024-08-16 06:00:00+00:00,0.00018689997777777777,0.00020074223888888888,0.0005977896166666667,0.00011669133333333333,0.009572665133333333,0.0002843740166666667,0.00018380622222222224,0.3776589896111111,180,180,180,180,180,180,180,180
2024-08-16 09:00:00+00:00,0.00018566828333333333,0.00019801219444444445,0.0005968905666666667,0.00011601980555555556,0.00949036326111111,0.0002857799388888889,0.00018448804444444442,0.37698045027777777,180,180,180,180,180,180,180,180
2024-08-16 12:00:00+00:00,0.00018583052777777778,0.00019969233888888891,0.0005986049277777778,0.00011696515000000001,0.009622843883333333,0.00028744941666666667,0.00018529847222222224,0.3767922865,180,180,180,180,180,180,180,180
2024-08-16 15:00:00+00:00,0.00018377480000000002,0.0001971011277777778,0.0005940079888888889,0.0001152216388888889,0.009609711266666666,0.00028589907222222223,0.00018665992777777777,0.37592400205555554,180,180,180,180,180,180,180,180
2024-08-16 18:00:00+00:00,0.0001835868888888889,0.00019620617777777775,0.0005913358,0.00011618408333333333,0.009591316649999999,0.00028572646666666666,0.00018517397777777778,0.37521638583333333,180,180,180,180,180,180,180,180
2024-08-16 21:00:00+00:00,0.0001836425393258427,0.00019636397752808988,0.0005924659101123595,0.00011662788764044944,0.009601399668539325,0.0002858849269662921,0.00018428125280898876,0.3743103810112359,178,178,178,178,178,178,178,178
2024-08-17 00:00:00+00:00,0.0001850275388888889,0.00019634087222222222,0.0005914634666666667,0.00011666422777777778,0.009591432605555556,0.0002851141277777778,0.00018352173888888887,0.3733230731111111,180,180,180,180,180,180,180,180
2024-08-17 03:00:00+00:00,0.00018411755000000002,0.00019192492777777778,0.0005869436444444445,0.00011731892777777778,0.00953654908888889,0.0002843415888888889,0.00018426129999999998,0.3727360295555555,180,180,180,180,180,180,180,180
2024-08-17 06:00:00+00:00,0.0001834439388888889,0.00018822010555555554,0.0005864063444444445,0.00011641722777777778,0.009404366327777778,0.0002846927166666667,0.0001852487,0.372589032,180,180,180,180,180,180,180,180
2024-08-17 09:00:00+00:00,0.00018221772891566267,0.00018831472289156627,0.0005898303373493976,0.00011724273493975905,0.009376170355421687,0.0002882712951807229,0.0001881432891566265,0.37304718674698795,166,166,166,166,166,166,166,166
2024-08-17 12:00:00+00:00,0.00018123694444444446,0.00019008339444444444,0.0005861065833333333,0.00011766702222222221,0.009483240344444446,0.00028587017222222224,0.00018616887777777775,0.372088341,180,180,180,180,180,180,180,180
2024-08-17 15:00:00+00:00,0.00018099302222222222,0.00019065100555555557,0.0005844470611111112,0.00011750072777777778,0.009476031205555556,0.0002854410333333333,0.00018573028333333333,0.37207232933333334,180,180,180,180,180,180,180,180
2024-08-17 18:00:00+00:00,0.00018124910674157304,0.0001890725224719101,0.0005911006011235955,0.00011803398876404494,0.009519720353932584,0.0002875869606741573,0.00018850116853932585,0.3719781961235955,178,178,178,178,178,178,178,178
2024-08-17 21:00:00+00:00,0.00018258795555555553,0.00019184549444444443,0.00059089905,0.0001192840111111111,0.009486106888888889,0.0002877625222222222,0.00018789268333333333,0.3712422283888889,180,180,180,180,180,180,180,180
2024-08-18 00:00:00+00:00,0.00018290367777777777,0.00019085453333333335,0.00058969965,0.00011757337777777778,0.009480526088888889,0.00028779549444444446,0.00018731206111111112,0.37094270455555556,180,180,180,180,180,180,180,180
2024-08-18 03:00:00+00:00,0.0001831443277777778,0.00018998522777777778,0.0005921200388888889,0.00011710785000000001,0.00947912473888889,0.00028787269444444444,0.00018414923333333333,0.3708727326111111,180,180,180,180,180,180,180,180
2024-08-18 06:00:00+00:00,0.00018342179444444447,0.00018888074444444442,0.0005902569888888889,0.00011567343333333333,0.009347602211111111,0.00028657175555555557,0.00018353574444444445,0.37092256238888893,180,180,180,180,180,180,180,180
2024-08-18 09:00:00+00:00,0.00018199479444444444,0.0001868506,0.00058642405,0.00011439491111111111,0.009286504572222222,0.00028541848888888886,0.00018307535555555553,0.37115532227777775,180,180,180,180,180,180,180,180
2024-08-18 12:00:00+00:00,0.00018223251666666667,0.00018696112222222223,0.0005857037444444445,0.00011477105555555556,0.009411204983333334,0.0002851978888888889,0.00018421316666666665,0.3709679479444445,180,180,180,180,180,180,180,180
2024-08-18 15:00:00+00:00,0.0001816294222222222,0.00018559316111111112,0.0005836357722222222,0.00011544631111111111,0.009391140188888888,0.00028420272222222224,0.00018449690555555554,0.3705626298888889,180,180,180,180,180,180,180,180
2024-08-18 18:00:00+00:00,0.00018096655056179775,0.00018471683146067415,0.0005851984719101123,0.00011603360674157305,0.009419621073033707,0.00028539280898876403,0.0001851619213483146,0.3706956516292135,178,178,178,178,178,178,178,178
2024-08-18 21:00:00+00:00,0.00018046117222222222,0.00018353825000000002,0.0005873275444444445,0.00011671295555555556,0.00943877393888889,0.0002860271888888889,0.00018559444444444444,0.3707763327222222,180,180,180,180,180,180,180,180
2024-08-19 00:00:00+00:00,0.00017948425555555555,0.00018519873333333332,0.0005885366277777778,0.00011750292222222221,0.00948009816111111,0.00028745210555555556,0.00018731521111111114,0.37143737266666665,180,180,180,180,180,180,180,180
2024-08-19 03:00:00+00:00,0.0001797032666666667,0.00018686885,0.0005898303833333333,0.00011742649444444444,0.009473123105555556,0.0002867116777777778,0.0001838459888888889,0.37164184744444445,180,180,180,180,180,180,180,180
2024-08-19 06:00:00+00:00,0.00018196915555555556,0.0001867478111111111,0.0005859339833333333,0.0001160911111111111,0.009334333794444444,0.00028445005555555555,0.0001821384111111111,0.3716544942777778,180,180,180,180,180,180,180,180
