datetime,panel,E_J2_Jkg,roll_median_Jkg,threshold_lo_Jkg,threshold_hi_Jkg,removed
2024-05-10 17:57:48+00:00,gannon,-28966381.63814548,-28966523.333944865,-28969462.967622466,-28963583.700267263,False
2024-05-10 18:07:48+00:00,gannon,-28967245.126657803,-28966381.63814548,-28969321.271823082,-28963442.00446788,False
2024-05-10 18:17:48+00:00,gannon,-28966625.96808206,-28966381.63814548,-28969321.271823082,-28963442.00446788,False
2024-05-10 18:27:48+00:00,gannon,-28966268.641021896,-28966608.472708967,-28969548.10638657,-28963668.839031365,False
2024-05-10 18:37:48+00:00,gannon,-28965671.55218613,-28966608.472708967,-28969548.10638657,-28963668.839031365,False
2024-05-10 18:47:48+00:00,gannon,-28966608.472708967,-28966608.472708967,-28969548.10638657,-28963668.839031365,False
2024-05-10 18:57:48+00:00,gannon,-28966964.619634736,-28966608.472708967,-28969548.10638657,-28963668.839031365,False
2024-05-10 19:07:48+00:00,gannon,-28965677.343769737,-28966608.472708967,-28969548.10638657,-28963668.839031365,False
2024-05-10 19:27:49+00:00,gannon,-28965947.774019618,-28966608.472708967,-28969548.10638657,-28963668.839031365,False
2024-05-10 19:37:49+00:00,gannon,-28967110.39700877,-28966608.472708967,-28969548.10638657,-28963668.839031365,False
2024-05-10 19:47:49+00:00,gannon,-28966644.99075137,-28966608.472708967,-28969548.10638657,-28963668.839031365,False
2024-05-10 19:57:49+00:00,gannon,-28966690.058505066,-28966608.472708967,-28969548.10638657,-28963668.839031365,False
2024-05-10 20:07:49+00:00,gannon,-28965795.97418268,-28966510.262239337,-28969449.89591694,-28963570.628561735,False
2024-05-10 20:17:49+00:00,gannon,-28966240.41755735,-28966480.588478666,-28969420.222156268,-28963540.954801064,False
2024-05-10 20:27:49+00:00,gannon,-28966625.773675352,-28966510.262239337,-28969449.89591694,-28963570.628561735,False
2024-05-10 20:37:49+00:00,gannon,-28967218.049968224,-28966510.262239337,-28969449.89591694,-28963570.628561735,False
2024-05-10 21:27:50+00:00,gannon,-28966480.588478666,-28966510.262239337,-28969449.89591694,-28963570.628561735,False
2024-05-10 21:37:50+00:00,gannon,-28966510.262239337,-28966480.588478666,-28969420.222156268,-28963540.954801064,False
2024-05-10 21:47:50+00:00,gannon,-28966003.97459766,-28966480.588478666,-28969420.222156268,-28963540.954801064,False
2024-05-10 21:57:50+00:00,gannon,-28966320.766190063,-28966510.262239337,-28969449.89591694,-28963570.628561735,False
2024-05-10 22:07:50+00:00,gannon,-28966621.13080914,-28966621.13080914,-28969560.76448674,-28963681.497131538,False
2024-05-10 22:17:50+00:00,gannon,-28965819.0049936,-28966510.262239337,-28969449.89591694,-28963570.628561735,False
2024-05-10 22:27:50+00:00,gannon,-28966749.891741075,-28966510.262239337,-28969449.89591694,-28963570.628561735,False
2024-05-10 22:37:50+00:00,gannon,-28966032.338160746,-28966510.262239337,-28969449.89591694,-28963570.628561735,False
2024-05-10 22:47:51+00:00,gannon,-28967193.332332358,-28966621.13080914,-28969560.76448674,-28963681.497131538,False
2024-05-10 22:57:51+00:00,gannon,-28966681.626606494,-28966621.13080914,-28969560.76448674,-28963681.497131538,False
2024-05-10 23:07:51+00:00,gannon,-28966722.18898949,-28966621.13080914,-28969560.76448674,-28963681.497131538,False
2024-05-10 23:17:51+00:00,gannon,-28966256.922318373,-28966384.837734587,-28969324.47141219,-28963445.204056986,False
2024-05-10 23:27:51+00:00,gannon,-28966646.026344232,-28966384.837734587,-28969324.47141219,-28963445.204056986,False
2024-05-10 23:37:51+00:00,gannon,-28966384.837734587,-28966384.837734587,-28969324.47141219,-28963445.204056986,False
2024-05-10 23:47:51+00:00,gannon,-28967109.170311622,-28966476.39558269,-28969416.029260293,-28963536.76190509,False
2024-05-10 23:57:51+00:00,gannon,-28966180.88816978,-28966389.42396087,-28969329.05763847,-28963449.790283266,False
2024-05-11 00:07:51+00:00,gannon,-28966136.602023765,-28966389.42396087,-28969329.05763847,-28963449.790283266,False
2024-05-11 00:17:52+00:00,gannon,-28966359.06539208,-28966389.42396087,-28969329.05763847,-28963449.790283266,False
2024-05-11 00:27:52+00:00,gannon,-28966228.97991146,-28966476.39558269,-28969416.029260293,-28963536.76190509,False
2024-05-11 00:37:52+00:00,gannon,-28966945.075560067,-28966389.42396087,-28969329.05763847,-28963449.790283266,False
2024-05-11 00:47:52+00:00,gannon,-28966476.39558269,-28966476.39558269,-28969416.029260293,-28963536.76190509,False
2024-05-11 00:57:52+00:00,gannon,-28966389.42396087,-28966476.39558269,-28969416.029260293,-28963536.76190509,False
2024-05-11 01:07:52+00:00,gannon,-28966868.02343939,-28966758.161758013,-28969697.795435615,-28963818.52808041,False
2024-05-11 01:17:52+00:00,gannon,-28966865.665695246,-28966835.83068136,-28969775.464358963,-28963896.19700376,False
2024-05-11 01:27:52+00:00,gannon,-28967040.980393797,-28966835.83068136,-28969775.464358963,-28963896.19700376,False
2024-05-11 01:37:52+00:00,gannon,-28966245.59375219,-28966855.72108514,-28969795.35476274,-28963916.087407537,False
2024-05-11 01:47:52+00:00,gannon,-28966855.72108514,-28966855.72108514,-28969795.35476274,-28963916.087407537,False
2024-05-11 01:57:53+00:00,gannon,-28966835.83068136,-28966864.46986562,-28969804.103543222,-28963924.83618802,False
2024-05-11 02:07:53+00:00,gannon,-28966758.161758013,-28966864.46986562,-28969804.103543222,-28963924.83618802,False
2024-05-11 02:17:53+00:00,gannon,-28966864.46986562,-28966855.72108514,-28969795.35476274,-28963916.087407537,False
2024-05-11 02:27:53+00:00,gannon,-28966428.87274147,-28966855.72108514,-28969795.35476274,-28963916.087407537,False
2024-05-11 02:37:53+00:00,gannon,-28967202.14966395,-28966855.72108514,-28969795.35476274,-28963916.087407537,False
2024-05-11 02:47:53+00:00,gannon,-28966995.51766412,-28966864.46986562,-28969804.103543222,-28963924.83618802,False
2024-05-11 02:57:53+00:00,gannon,-28967506.48159908,-28966864.46986562,-28969804.103543222,-28963924.83618802,False
2024-05-11 03:07:53+00:00,gannon,-28966802.718139168,-28966887.39944072,-28969827.033118322,-28963947.76576312,False
2024-05-11 03:17:53+00:00,gannon,-28966552.06930537,-28966995.51766412,-28969935.15134172,-28964055.883986518,False
2024-05-11 03:27:53+00:00,gannon,-28967257.767505948,-28967202.14966395,-28970141.783341553,-28964262.51598635,False
2024-05-11 03:37:54+00:00,gannon,-28967285.79827313,-28967257.767505948,-28970197.40118355,-28964318.133828346,False
2024-05-11 03:47:54+00:00,gannon,-28968090.32058748,-28967257.767505948,-28970197.40118355,-28964318.133828346,False
2024-05-11 03:57:54+00:00,gannon,-28966435.61035769,-28967257.767505948,-28970197.40118355,-28964318.133828346,False
2024-05-11 04:07:54+00:00,gannon,-28966887.39944072,-28967257.767505948,-28970197.40118355,-28964318.133828346,False
2024-05-11 04:17:54+00:00,gannon,-28967704.1694582,-28967285.79827313,-28970225.431950733,-28964346.16459553,False
2024-05-11 04:27:54+00:00,gannon,-28967906.227187548,-28967285.79827313,-28970225.431950733,-28964346.16459553,False
2024-05-11 04:37:54+00:00,gannon,-28967368.149381217,-28967285.79827313,-28970225.431950733,-28964346.16459553,False
2024-05-11 04:47:54+00:00,gannon,-28966432.3972164,-28967043.36618228,-28969982.99985988,-28964103.732504677,False
2024-05-11 04:57:54+00:00,gannon,-28967043.36618228,-28967043.36618228,-28969982.99985988,-28964103.732504677,False
2024-05-11 05:07:54+00:00,gannon,-28968863.317383155,-28967169.82296984,-28970109.45664744,-28964230.189292237,False
2024-05-11 05:17:55+00:00,gannon,-28967765.0979354,-28967169.82296984,-28970109.45664744,-28964230.189292237,False
2024-05-11 05:27:55+00:00,gannon,-28966916.588101447,-28967102.11242872,-28970041.746106323,-28964162.47875112,False
2024-05-11 05:37:55+00:00,gannon,-28966964.585410666,-28967102.11242872,-28970041.746106323,-28964162.47875112,False
2024-05-11 05:47:55+00:00,gannon,-28965966.362052307,-28967102.11242872,-28970041.746106323,-28964162.47875112,False
2024-05-11 05:57:55+00:00,gannon,-28967169.82296984,-28967102.11242872,-28970041.746106323,-28964162.47875112,False
2024-05-11 06:07:55+00:00,gannon,-28967996.83275272,-28967102.11242872,-28970041.746106323,-28964162.47875112,False
2024-05-11 06:17:55+00:00,gannon,-28967102.11242872,-28967102.11242872,-28970041.746106323,-28964162.47875112,False
2024-05-11 06:27:55+00:00,gannon,-28966959.47422159,-28967102.11242872,-28970041.746106323,-28964162.47875112,False
2024-05-11 06:37:55+00:00,gannon,-28967773.09287979,-28967169.82296984,-28970109.45664744,-28964230.189292237,False
2024-05-11 06:47:55+00:00,gannon,-28967780.845814627,-28967309.951773506,-28970249.585451107,-28964370.318095904,False
2024-05-11 06:57:56+00:00,gannon,-28966835.404904883,-28967309.951773506,-28970249.585451107,-28964370.318095904,False
2024-05-11 07:07:56+00:00,gannon,-28966770.625004858,-28967356.28434832,-28970295.918025922,-28964416.65067072,False
2024-05-11 07:17:56+00:00,gannon,-28967309.951773506,-28967356.28434832,-28970295.918025922,-28964416.65067072,False
2024-05-11 07:27:56+00:00,gannon,-28968469.82151821,-28967377.14903048,-28970316.782708082,-28964437.51535288,False
2024-05-11 07:37:56+00:00,gannon,-28968130.198073026,-28967409.96218246,-28970349.59586006,-28964470.328504857,False
2024-05-11 07:47:56+00:00,gannon,-28967695.79454064,-28967409.96218246,-28970349.59586006,-28964470.328504857,False
2024-05-11 07:57:56+00:00,gannon,-28966819.53950369,-28967409.96218246,-28970349.59586006,-28964470.328504857,False
