mask,wavelength,lag_hours,spearman_r,n
quiet_dst50,1175,18,0.8498496567831706,1192
quiet_dst50,1175,21,0.8544120720998435,1192
quiet_dst50,1175,24,0.8568227938718422,1192
quiet_dst50,1175,27,0.8602228276565813,1191
quiet_dst50,1175,30,0.8640934198980086,1191
quiet_dst50,1175,33,0.8650203993148662,1191
quiet_dst50,1175,36,0.8607318125464987,1191
quiet_dst50,1175,39,0.8578814275528479,1191
quiet_dst50,1175,42,0.8593894419894121,1190
quiet_dst50,1175,45,0.8594521565906044,1190
quiet_dst50,1175,48,0.8579718513128453,1190
quiet_dst50,1175,51,0.8557476228294607,1190
quiet_dst50,1175,54,0.8532167927940233,1190
quiet_dst50,1175,57,0.8474036114160726,1190
quiet_dst50,1175,60,0.8405961112923899,1190
quiet_dst50,1175,63,0.8377966218217542,1189
quiet_dst50,1175,66,0.8379166853733278,1188
quiet_dst50,1175,69,0.8344226735767074,1186
quiet_dst50,1175,72,0.8288392999931462,1184
quiet_dst50,1175,75,0.8269314652633643,1182
quiet_dst50,1175,78,0.8261753434424316,1180
quiet_dst50,1175,81,0.8202387946234037,1178
quiet_dst50,1175,84,0.8119950446962347,1176
quiet_dst50,1175,87,0.8072324077697337,1175
quiet_dst50,1175,90,0.8080431124205817,1175
quiet_dst50,1175,93,0.8072655768603431,1175
quiet_dst50,1175,96,0.801976593747434,1175
quiet_dst50,1175,99,0.797741639118223,1175
quiet_dst50,1175,102,0.7974075367216009,1175
quiet_dst50,1175,105,0.7901949164891953,1175
quiet_dst50,1175,108,0.7752035823209635,1175
quiet_dst50,1175,111,0.7649203938817307,1174
quiet_dst50,1175,114,0.7629652912009086,1172
quiet_dst50,1175,117,0.7572429769078316,1170
quiet_dst50,1175,120,0.7424615752221203,1168
quiet_dst50,1216,0,0.7730557546426423,1198
quiet_dst50,1216,3,0.7821000914707528,1196
quiet_dst50,1216,6,0.7886639435545509,1195
quiet_dst50,1216,9,0.780654830476406,1194
quiet_dst50,1216,12,0.7717405724934805,1193
quiet_dst50,1216,15,0.7771394577396145,1192
quiet_dst50,1216,18,0.7849569110770174,1192
quiet_dst50,1216,21,0.7846006383293276,1192
quiet_dst50,1216,24,0.7813084667179797,1192
quiet_dst50,1216,27,0.7866949359494615,1191
quiet_dst50,1216,30,0.789872090705672,1191
quiet_dst50,1216,33,0.7790057672689552,1191
quiet_dst50,1216,36,0.7689952859746845,1191
quiet_dst50,1216,39,0.7716614314652206,1191
quiet_dst50,1216,42,0.7757802469550314,1190
quiet_dst50,1216,45,0.7715908446580443,1190
quiet_dst50,1216,48,0.7664597192829079,1190
quiet_dst50,1216,51,0.7701694940962235,1190
quiet_dst50,1216,54,0.7696422271573484,1190
quiet_dst50,1216,57,0.7563312292989344,1190
quiet_dst50,1216,60,0.7439217849870096,1190
quiet_dst50,1216,63,0.7441254963641547,1189
quiet_dst50,1216,66,0.7480678497235068,1188
quiet_dst50,1216,69,0.7432950718114097,1186
quiet_dst50,1216,72,0.7372001981544338,1184
quiet_dst50,1216,75,0.7406076303337078,1182
quiet_dst50,1216,78,0.7395484060365951,1180
quiet_dst50,1216,81,0.7262643786431964,1178
quiet_dst50,1216,84,0.7132307348362797,1176
quiet_dst50,1216,87,0.7122009585304998,1175
quiet_dst50,1216,90,0.7154642674061904,1175
quiet_dst50,1216,93,0.7093663993561468,1175
quiet_dst50,1216,96,0.700568771493519,1175
quiet_dst50,1216,99,0.7014303467590234,1175
quiet_dst50,1216,102,0.700803692095563,1175
quiet_dst50,1216,105,0.6849982653542044,1175
quiet_dst50,1216,108,0.6676348677859631,1175
quiet_dst50,1216,111,0.6630066377134815,1174
quiet_dst50,1216,114,0.6658169271800024,1172
quiet_dst50,1216,117,0.6587279678122757,1170
quiet_dst50,1216,120,0.64777736042612,1168
quiet_dst50,1335,0,0.7466740266046046,1198
quiet_dst50,1335,3,0.748166998849189,1196
quiet_dst50,1335,6,0.75267761401148,1195
quiet_dst50,1335,9,0.7573747027970769,1194
quiet_dst50,1335,12,0.7571882898801235,1193
quiet_dst50,1335,15,0.7589500916181543,1192
quiet_dst50,1335,18,0.7607185602726638,1192
quiet_dst50,1335,21,0.7657073494142209,1192
quiet_dst50,1335,24,0.7655428095601998,1192
quiet_dst50,1335,27,0.7641095580794826,1191
quiet_dst50,1335,30,0.7676082760458672,1191
quiet_dst50,1335,33,0.7699845522372052,1191
quiet_dst50,1335,36,0.7674351812640261,1191
quiet_dst50,1335,39,0.7642161325842528,1191
quiet_dst50,1335,42,0.764251456069862,1190
quiet_dst50,1335,45,0.764465976038173,1190
quiet_dst50,1335,48,0.7614958019866401,1190
quiet_dst50,1335,51,0.7561005517934253,1190
quiet_dst50,1335,54,0.7534578010827365,1190
quiet_dst50,1335,57,0.7510258887860478,1190
quiet_dst50,1335,60,0.7448973185484629,1190
quiet_dst50,1335,63,0.7392453058905343,1189
quiet_dst50,1335,66,0.7373141623391207,1188
quiet_dst50,1335,69,0.7351781720950787,1186
quiet_dst50,1335,72,0.7300011076057813,1184
quiet_dst50,1335,75,0.7260306478035714,1182
quiet_dst50,1335,78,0.7243558803114843,1180
quiet_dst50,1335,81,0.7221346870016269,1178
quiet_dst50,1335,84,0.7167386191628443,1176
quiet_dst50,1335,87,0.7106208700450712,1175
quiet_dst50,1335,90,0.7093913057629446,1175
quiet_dst50,1335,93,0.7081415323025074,1175
quiet_dst50,1335,96,0.7012018913187081,1175
quiet_dst50,1335,99,0.6932533226418989,1175
quiet_dst50,1335,102,0.6909940445060551,1175
quiet_dst50,1335,105,0.6867095137739753,1175
quiet_dst50,1335,108,0.6745481451125523,1175
quiet_dst50,1335,111,0.6628905307992297,1174
