wavelength,window,geomag,period,lag_hours,spearman_r,n
1335,-1,quiet_kp4,full,18,0.2803449494707583,859
1335,-1,quiet_kp4,full,21,0.2432979819957119,860
1335,-1,quiet_kp4,full,24,0.26395787006767996,860
1335,-1,quiet_kp4,full,27,0.28983400401418036,860
1335,-1,quiet_kp4,full,30,0.2717500812901221,860
1335,-1,quiet_kp4,full,33,0.2435184952037972,859
1335,-1,quiet_kp4,full,36,0.25933446880574074,858
1335,-1,quiet_kp4,full,39,0.2920311566643588,857
1335,-1,quiet_kp4,full,42,0.2630649897079365,856
1335,-1,quiet_kp4,full,45,0.23280467769933016,856
1335,-1,quiet_kp4,full,48,0.25779044670048035,855
1335,-1,quiet_kp4,full,51,0.2756894060916711,854
1335,-1,quiet_kp4,full,54,0.25083818265129315,854
1335,-1,quiet_kp4,full,57,0.229281648762808,854
1335,-1,quiet_kp4,full,60,0.2479740356694391,853
1335,-1,quiet_kp4,full,63,0.27066016198107984,851
1335,-1,quiet_kp4,full,66,0.24622570916492467,849
1335,-1,quiet_kp4,full,69,0.21892000773119658,846
1335,-1,quiet_kp4,full,72,0.2366337518590121,843
1335,-1,quiet_kp4,full,75,0.25663095165546274,840
1335,-1,quiet_kp4,full,78,0.22983902176417298,837
1335,-1,quiet_kp4,full,81,0.2142018671685578,835
1335,-1,quiet_kp4,full,84,0.24551388869905086,832
1335,-1,quiet_kp4,full,87,0.2566595655855055,830
1335,-1,quiet_kp4,full,90,0.22403610350564684,829
1335,-1,quiet_kp4,full,93,0.20622499073939543,828
1335,-1,quiet_kp4,full,96,0.23879025038818646,828
1335,-1,quiet_kp4,full,99,0.24631819352724266,829
1335,-1,quiet_kp4,full,102,0.21172594732501757,828
1335,-1,quiet_kp4,full,105,0.18461583961891825,827
1335,-1,quiet_kp4,full,108,0.2196755346953299,827
1335,-1,quiet_kp4,full,111,0.25120784262107987,827
1335,-1,quiet_kp4,full,114,0.2082413354481069,826
1335,-1,quiet_kp4,full,117,0.17760948776416938,825
1335,-1,quiet_kp4,full,120,0.21740115114980926,824
1405,-1,quiet_kp4,full,0,0.3037916413850917,854
1405,-1,quiet_kp4,full,3,0.3285937764589197,855
1405,-1,quiet_kp4,full,6,0.30050743823757475,856
