condition,geomag,wavelength,lag_hours,spearman_r,n
asymmetric,quiet_kp4,1335,30,0.7147683705535341,860
asymmetric,quiet_kp4,1335,33,0.7189460943799413,859
asymmetric,quiet_kp4,1335,36,0.715841397963428,858
asymmetric,quiet_kp4,1335,39,0.7101144882881871,857
asymmetric,quiet_kp4,1335,42,0.708934858001283,856
asymmetric,quiet_kp4,1335,45,0.7105385602743376,856
asymmetric,quiet_kp4,1335,48,0.7082389403875862,855
asymmetric,quiet_kp4,1335,51,0.7021089999420552,854
asymmetric,quiet_kp4,1335,54,0.6969301388500945,854
asymmetric,quiet_kp4,1335,57,0.6930770028486355,854
asymmetric,quiet_kp4,1335,60,0.6845289831352575,853
asymmetric,quiet_kp4,1335,63,0.6793377253915419,851
asymmetric,quiet_kp4,1335,66,0.6797926920618237,849
asymmetric,quiet_kp4,1335,69,0.6773785555812041,846
asymmetric,quiet_kp4,1335,72,0.67289261855983,843
asymmetric,quiet_kp4,1335,75,0.6680063322085208,840
asymmetric,quiet_kp4,1335,78,0.6674287927514341,837
asymmetric,quiet_kp4,1335,81,0.6650459227495237,835
